english,korean
A thing or an object,것
To do,하다
To be,있다
"way, method, Number",수
To do,하다
I,나
"Do not exist, absent",없다
To not do,않다
Person,사람
"we, our",우리
"He, That",그
To not be,아니다
To try,보다
thing,거
To see,보다
To be similar,같다
"To give, to do for a person",주다
"Face, confront",대하다
To go,가다
Year,년
"One, a single",한
"words,speaking",말
Work,일
"A person, This",이
Speak,말하다
To do for the sake of,위하다
However or but still,그러나
To come,오다
To know,알다
~ Mr.,씨
That is right or yes.,그렇다
"To be big, large",크다
One day,일
"culture,society",사회
"many, much",많다
~ not ~ + VERB,안
To be good,좋다
More,더
Receive,받다
That thing,그것
House,집
Come out,나오다
And or and then,그리고
"question,problem",문제
Such a,그런
To live,살다
That,저
Be impossible,못하다
To think,생각하다
To not know,모르다
The inside,속
To make,만들다
"Place, point, instance",데
"In front of, before",앞
A case or an instance,경우
"The center, the middle",중
"What kind of, what sort of",어떤
Well,잘
She,그녀
"Eat, chow down on",먹다
"one’s own self, one\’s own body",자신
culture,문화
"A unit of south korean money, KRW",원
Thought,생각
"how,what.. do you think of",어떻다
Person counter,명
"Run, lead; flow; go through",통하다
"and so, and then, well",그러다
"and so, and then, well",그러다
"A sound,noise",소리
Again,다시
Different,다른
"Such, like this",이런
"woman,female",여자
Unit or piece,개
"grade,degree",정도
"All, everything",다
A little,좀
"want,hope",싶다
"see,catch sight of",보이다
To have or take or hold,가지다
"Together, with",함께
Child,아이
"pass,elapse,go on",지나다
A lot,많이
Time,시간
You,너
"A person, a human being",인간
"The truth, a fact",사실
To be born,나다
Like this,이렇다
Mom,어머니
Eyes,눈
Huh? (2) something,뭐
Store,점
"To be due to, owing to",의하다
"An age,period",시대
Next,다음
"Be this way, be like follows",이러하다
Who,누구
Place,곳
"many,various",여러
Inside,안
One,하나
World,세계
"(following a verb) the verb\’s action is over, perhaps in a sad way",버리다
"The upper part, above",위
"Motion, movement",운동
Percent,퍼센트
School,학교
"Oneself, number one, numerouno, self",자기
Most,가장
The president,대통령
One of the kind or a sort,가지
"To start,begin",시작하다
"Right, correctly",바로
"Some, a certain",어느
And so accordingly,그래서
"That thing,whatever",무엇
Government,정부
Every one,모든
"Number, how many times",번
That thing,그거
Money,돈
A state or a nation,국가
But or however,그런데
Day,날
A hobby,여기
Everybody,모두
Female,여성
A friend,친구
Heart,마음
After,후
"Put, place",놓다
Connection or relation,관계
Father,아버지
Boy,남자
Where?,어디
"body,physique",몸
Face,얼굴
Why?,왜
"Come out, appear",나타나다
"An area, region",지역
Be different,다르다
"shape,body",모습
Water,물
Meet,만나다
produce something,내다
"show,let see",보이다
To write,쓰다
This thing,이것
Without,없이
This time,이번
Road,길
"lifestyle,livelihood",생활
Take (medicine),쓰다
"only,alone,merely",뿐
space between 2 points; the relationship between 2 people,사이
"Way, method",방법
"To be new,novel",새롭다
"to see through, to make it through sth",내다
To sit down,앉다
First,처음
The hand,손
A few,몇
Then or at that time,그때
Process or course,과정
Life,삶
To hold,갖다
"seek,look for",찾다
Especially,특히
Time,시
"More than, above",이상
Now,지금
To go out,나가다
"Conversation, talk",이야기
Education,교육
"To buy, purchase",사다
Economy,경제
Still,아직
"seize,catch",잡다
Together,같이
Teacher,선생님
"Art, an art",예술
To stand,서다
Cannot,못
History,역사
To read,읽다
Result,결과
Contents,내용
Of course,물론
A book,책
"To rise, get up",일어나다
Formal you,당신
"market,fair",시장
"Put in, set in",넣다
"To be important,weighty",중요하다
"What, what kind of",무슨
To feel,느끼다
"To be hard, difficult",어렵다
Power,힘
Too much,너무
A country,나라
To call,부르다
"A meaning, a sense",의미
"seat,spot",자리
To light up,밝히다
"die,pass away",죽다
Already,이미
"Way, direction",쪽
Politics,정치
The people or a nationality,국민
Life,생명
Story,얘기
Student,학생
Research,연구
Mamma,엄마
Name,이름
One,하나
Descend,내리다
"An event,incident",사건
As well as,및
To be easy,쉽다
"To make, build ; to form a line (a group)",짓다
Reason,이유
To need,필요하다
"words, a verse",글
"arise,occur,happen",생기다
To use,사용하다
Husband,남편
The outside,밖
"The world,society",세상
Small,작다
Ride (bus),타다
University,대학
A work of art,작품
State of things,상황
In the middle,가운데
Send,보내다
"namely,that is to say",즉
"condition,state",상태
After that,이후
At that time,당시
Literature,문학
More and more,더욱
Extremely,아주
"A locality, district",지방
Night,밤
High,높다
Recently,최근
"As it is, no change",채
"Actuality, reality",현실
Environment,환경
Computer,컴퓨터
First,먼저
Go to and from a aplace,다니다
"How many, how much",얼마나
one’s own body,자체
Open,열다
Head,머리
to Ask,묻다
"Remain, be left over",남다
"part,portion",부분
An enterprise or business,기업
"Change, transformation",변화
"son,baby",아들
Oh dear,아
An election,선거
Refer to or be about,관하다
Minutes,분
Just because or in that condition,그냥
To divide,나누다
"To use, make use of",이용하다
Almost or nearly,거의
Soon,곧
"The nucleus, the focus, the heart",중심
Activity,활동
Today,오늘
"mutually,one another",서로
Concern or interest,관심
"As expected, likewise",역시
This thing,이거
"A baby, or a slightly derogative word for person",애
Advertisement,광고
"To come out, grow, spring up",나다
A room,방
"mind,spirit",정신
"To reach, arrive, get at",이르다
"Accomplish, complete",이루다
Morning,아침
"To laugh, smile",웃다
"The present situation, state",현상
Art or technique or ability,기술
"The whole, the entire section",전체
So or yes or that’s right,그래
"Get, obtain",얻다
To be beautiful,아름답다
The end,끝
"race,nation,people",민족
The interval between,간
"investigation,inquiry",조사
To be like something,듯
Mouth,입
Huh? (2) something,뭐
Like that,그대로
A movie,영화
"Need, requirement,necessity",필요
"way,method",줄
The sky,하늘
Year,년대
Science,과학
Nature,자연
Really,정말
Construction or structure,구조
After all or in the end,결국
"Rice, a meal",밥
To wear,입다
"Rather,preferably",오히려
Program,프로그램
Yes,네
"Get accomplished, achieved",이루어지다
"Others, other people",남
A day,하루
A picture,그림
"The time,the occasion,when",적
"one’s status, one’s lot",터
To drink,마시다
"to attack, assault",치다
Alone,혼자
"To advance, proceed, go forward",나가다
Now,이제
Teaching or instruction,교수
Alcohol,술
Love,사랑
Telephone,전화
To draw to a close or to end,끝나다
"Be right, correct; to match, be fitting for",맞다
Dad,아빠
To be hung up or suspended,걸리다
"Protect, maintain",지키다
Once,한번
Coffee,커피
Chest,가슴
To be long,길다
"Look at, watch ; to look forward to, hope for",바라보다
"To investigate, examine, search",알아보다
Flavor,맛
Most,대부분
Industry,산업
Very,매우
"Go up, climb, ascend",오르다
Food,음식
"Facial expression, look",표정
For sure,꼭
"A part, a portion",일부
"Recently, nowadays",요즘
A plan or a project,계획
"Touch, feel",느낌
"How many, how much",얼마
The nape of the neck,고개
"Personality ; character, nature",성격
Continuously,계속
Century,세기
"Stand up, erect",세우다
Wife,아내
Family,가족
"The present time, now, at present",현재
Three,세
Development,발전
"A vehicle, train/auto car",차
"Play, amuse oneself",놀다
"To face, look out on",향하다
Relation or connection or reference,관련
"Form, shape",형태
Each or every,각
City,도시
Work,작업
"atmosphere,surroundings",분위기
To be so or right,그러하다
Age,나이
"First of all, before everything",우선
Believe,믿다
"change,exchange",바꾸다
To give birth,낳다
"A thing, what",바
"information,intelligence",정보
"Open, be opened, be unlocked",열리다
"To like, be fond of",좋아하다
Picture or draw a picture,그리다
Of that amount,만큼
To learn,배우다
"Poetry, lines of verse",시
"A part, a role",역할
Next to,옆
"Action, behavior",행동
"Oh, well, why",어
Inside the country,국내
Compare to,비하다
An engine or a machine,기관
"A position, situation",입장
Be of the extent of,만하다
Example,예
"The bottom, the lower part",아래
"A form, method, process",방식
"Influence, consequences",영향
Certainly or of course.,그럼
"Come out, come forth",나서다
"Flow, stream",흐르다
"Uh, well, …",저
Deep,깊다
A boat (boating),배
Inside,내
"A shape, form",모양
A mountain,산
New,새
"But, nevertheless",하지만
"condition,stipulation",조건
Door,문
Flower,꽃
"A step, phase",단계
"Raise, lift up",올리다
During that time,그동안
Instructor,교사
Suddenly,갑자기
Cross or go across,넘다
"Carry with, hold, possess",지니다
Wind,바람
To do well,잘하다
Town,마을
"To be very young, juvenile",어리다
Representative,대표
Possibility,가능성
Direction,방향
A great meeting,대회
Voice,목소리
Song,노래
Sea,바다
"To be hard, difficult",힘들다
Study,공부
"To move, stir",움직이다
A member,의원
Effort,노력
"entirely,utterly,completely",전혀
Older sister,언니
"A corps, a group",단체
One part,분
To become known,알려지다
To be possible,가능하다
"Ability, capability, how much and how well",능력
"To assert,maintain",주장하다
one’s children,자식
Fire,불
"inhabitants,dwellers",주민
"gather,get together",모으다
"materials,data",자료
Existence,존재
A school year,학년
A newspaper,신문
Entertain or hold or have,가지다
To understand,이해하다
Manufactured goods,제품
Field,분야
Teacher,선생
Business,사업
"An act, deed, behavior",행위
Level,수준
Last year,지난해
"Verbal expression, representation, manifestation",표현
Mood,기분
"Era, period",대
"To be young,youthful",젊다
Clothes,옷
Function or functionality,기능
"A moment,a second",순간
War,전쟁
Before,전
A Dream,꿈
Grandmother,할머니
"A meeting, a conference",회의
Broadcast,방송
To talk,이야기하다
Tree,나무
To sleep,자다
"drama,a play",연극
The same,마찬가지
To walk,걷다
"Labor, work",노동
"At this time, moment",이때
The past,과거
Price,가치
a Length of time (한시간 동안),시간
"A group, a collective body",집단
"The present age, times",현대
Watch closely,살펴보다
A government cabinet minister,장관
"difference,disparity",차이
"Untie, loosen ; to melt into",풀다
"season,time,occasion",시절
A thing,물건
Directly,직접
Private or individual,개인
But or however,근데
Foot,발
"writer,author",작가
"Effect, effectiveness",효과
Buddhism,불교
Pull,끌다
"Like, according to",대로
Quickly,빨리
"To begin,start",시작되다
Cease,말다
To explain,설명하다
The universe,우주
"An opportunity,chance",시기
"As though, as if",마치
Years old,살
1) production 2)birth,생산
"Wish, hope",바라다
To be strong or powerful,강하다
Experience or undergo or suffer,경험
Music,음악
The best,최고
"Show, display",나타내다
To hurt,아프다
"To be small, few in number",적다
Rain,비
Hometown,고향
Be surprised,놀라다
"To be various, diverse",다양하다
"To cry, weep",울다
A farmer,농민
A bank,은행
"To pass, spend time",지내다
Marriage,결혼
"A law, the law",법
"A novel, fiction story",소설
"Yes, certainly, right",예
The afternoon,오후
"Order, system",질서
Put in a bottle,담다
"Meet, assemble",모이다
Residents of a city,시민
"Chariman, the president",회장
"Be fast, quick",빠르다
"On its own, of its own free will",스스로
"baby,infant",아기
"Sir, calling an unknown male",아저씨
"Ancient times, antiquity",옛날
"Today, this day",이날
As properly is suitable,제대로
The moon,달
To throw,던지다
"really,truly",참
Space or room,공간
"This place, here",이곳
"Last, final",마지막
(1) to plan to start a job/project (2) to play a table game,벌이다
Hospital,병원
"Position, posture",자세
Place empasis upon,강조하다
The police,경찰
Take charge of,맡다
Evening,저녁
"One side, one way",한편
If so or if that is the case,그러면
A journalist,기자
Broad,넓다
A test,시험
Sleep,잠
"principally,mainly",주로
"By far, very much so",훨씬
Side,면
Unification,통일
Health,건강
Close,가깝다
Building,건물
"establishment,institution",시설
A foreign country,외국
The bottom,밑
"A man, an adult",어른
A circumference,주변
Instead of,대신
"A cause,a factor",원인
To sell,팔다
"(1) order,precedence (2) one time, one round",차례
An army,군
"Enthusiastically,with zeal",열심히
"To work, labor",일하다
